Video name,Unique ID,GuidId,Video Link,Notification,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitation,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for (Medical conditions),Tags
Banded Face Pulls,10001,62c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Face_Pulls/Banded_Face_Pulls.mp4?se=2036-01-25T12%3A23%3A07Z&sp=r&sv=2026-02-06&sr=b&sig=1IjU6hTbUM2p2KLCYvWKxceKZL/%2B7eOeHsc5TR%2BiUUM%3D,Banded Face Pulls: Improves posture and strengthen your upper back—tap to watch now.,Banded Face Pulls,All Ages,All,Strength,Upper,Resistance Band,"Beginner,Intermediate","Acute Shoulder Impingement, Acute Rotator Cuff Tear, Elbow Pain (acute)",2,12–15,6–8,60–90 sec,Improves rear shoulder and upper back strength for better posture,"1. Stand facing the anchor with feet hip-width apart.
2. Hold the rope or band with both hands and extend your arms at eye level.
3. Pull your hands toward your face while flaring your elbows and squeezing your shoulder blades.
4. Slowly extend your arms back to the start and repeat.",Pull shoulder blades together keeping chest tall and elbows level,3.5,None,Main workout
Arm Scissors,10002,63c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Arm_Scissors/Arm_Scissors.mp4?se=2036-01-25T12%3A23%3A11Z&sp=r&sv=2026-02-06&sr=b&sig=GPDRSfHP/qtD/371JrD%2B638mPG/AnizMvtpkJmBQgFM%3D,Arm Scissors: Activate your shoulders and improve shoulder mobility—tap to start.,Arm Scissors,All Ages,All,Mobility,Upper,Bodyweight,All,Acute Shoulder Pain / Shoulder Impingement,2,10 each side,4–5,30–40 sec,Enhances shoulder mobility and coordination through repetitive horizontal adduction and abduction,"1. Stand tall with feet hip-width apart and arms extended straight ahead at chest height.
2. Cross one arm over the other, then quickly reverse so the opposite arm crosses on top.
3. Continue alternating in a controlled rhythm while keeping your core engaged.",Keep shoulders relaxed and avoid excessive trunk rotation,3,None,Warm up
Banded Hammer Curls,10003,64c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Hammer_Curls/Banded_Hammer_Curls.mp4?se=2036-01-25T12%3A23%3A15Z&sp=r&sv=2026-02-06&sr=b&sig=275wqODzbuCC3TM7e4N/EwwI944qYOzMfqLtLXfVtfM%3D,Banded Hammer Curls: Build forearm and biceps strength—tap to start. 💪,Banded Hammer Curls,All Ages,All,Strength,Upper,Resistance Band,All,"Elbow Pain (acute), Wrist Pain (acute)",2,10–12,4-6,30–60 sec,Strengthens biceps and forearm muscles,"1. Stand on the center of the band with feet hip-width apart.
2. Hold band handles with palms facing each other.
3. Curl hands toward shoulders while keeping elbows close to the body.
4. Lower slowly to the starting position.",Keep elbows tucked and avoid swinging the torso,3.5,None,Warm up
Banded Biceps Curl,10004,65c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Biceps_Curl/Banded_Biceps_Curl.mp4?se=2036-01-25T12%3A23%3A17Z&sp=r&sv=2026-02-06&sr=b&sig=tEamqpD8BQEcqxCbWMhT2kFInhmf112K1pXLcEai/0Y%3D,Banded Biceps Curl: Strengthen and tone your biceps—tap to begin. 💪,Banded Biceps Curl,All Ages,All,Strength,Upper,Resistance Band,All,"Acute Elbow Tendinitis, Wrist Pain (acute)",2,8–12,7–8,60–90 sec,Builds elbow flexor strength and contributes to functional pulling movements,"1. Stand on the center of the resistance band with feet hip-width apart.
2. Hold band handles with palms facing forward and elbows close to sides.
3. Curl hands toward shoulders by bending elbows without swinging the torso.
4. Lower slowly to the starting position with control.",Keep elbows tucked to sides and lower weight slowly with control,4,None,Main workout
Arm Raises,10005,66c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Arm_Raises/Arm_Raises.mp4?se=2036-01-25T12%3A23%3A28Z&sp=r&sv=2026-02-06&sr=b&sig=X8LLSFb%2BIDtpwHgYEg5LlmTUGAohdxDvNbmnxO8t0tU%3D,Arm Raises with Breathing: Strengthen your shoulders and improve arm control—tap to begin.,Arm Raises with Breathing,All Ages,All,Mobility,Upper,Bodyweight,All,"Acute Shoulder Impingement, Severe Shoulder Pain in Overhead Range",2,8–10,2–3,30–40 sec,Enhances shoulder mobility and breathing coordination,"1. Stand tall with feet hip-width apart and arms at sides.
2. Inhale deeply while raising both arms forward and overhead.
3. Exhale slowly as you lower arms back to sides.
4. Move in a slow, controlled rhythm.",Keep shoulders relaxed and avoid arching the lower back,2.3,None,Main workout
Banded Lateral Walking,10006,67c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Lateral_Walking/Banded_Lateral_Walking.mp4?se=2036-01-25T12%3A23%3A32Z&sp=r&sv=2026-02-06&sr=b&sig=2PRhSwk2WFkTfXcUj4OWjUC/cFpCsOZOGlG%2BtAh1Qx8%3D,Banded Lateral Walk: Strengthen your glutes and improve hip stability—tap to start.,Banded Lateral Walk,All Ages,All,Strength,Lower,Resistance Band,Intermediate,"Acute Knee Pain / Knee Injury, Recent Hip Surgery",2,8–12 steps each direction,4-6,30–60 sec,Strengthens hip abductors and improves lateral stability,"1. Place a resistance band around thighs or ankles and stand with knees slightly bent.
2. Step sideways maintaining tension in the band and neutral spine.
3. Continue stepping for desired reps, then return in opposite direction.",Maintain neutral spine and engaged core,4,None,Main workout
Banded Shoulder Internal Rotation,10007,68c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Shoulder_Internal_Rotation/Banded_Shoulder_Internal_Rotation.mp4?se=2036-01-25T12%3A23%3A38Z&sp=r&sv=2026-02-06&sr=b&sig=KNyIaG%2BsMi3XHxgmaVHrPaFQ%2BaK/s3rwm/yh2Qm/n5w%3D,Banded Shoulder Internal Rotation: Strengthen your rotator cuff and improve shoulder stability—tap to begin.,Banded Shoulder Internal Rotation,All Ages,All,Strength,Upper,Resistance Band,All,"Acute Shoulder Impingement, Acute Rotator Cuff Tear",2,10–12 each side,4-6,30–60 sec,Strengthens internal rotator muscles of the shoulder,"1. Attach band at elbow height and hold it with elbow bent 90° and tucked at your side.
2. Rotate your forearm inward across your body while keeping elbow fixed.
3. Return slowly to the starting position with control.",Keep elbow close to body and avoid trunk rotation,3.5,Severe Shoulder Arthritis (flare-up),Main workout
Banded Lateral Raise,10008,69c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Lateral_Raise/Banded_Lateral_Raise.mp4?se=2036-01-25T12%3A23%3A44Z&sp=r&sv=2026-02-06&sr=b&sig=ZQSKo/d4sV93/7e0ShRlKydh7vcpKwkZEmPVKRxcS4w%3D,Banded Lateral Raise: Build shoulder strength and improve arm lift control—tap to start. 💪,Banded Lateral Raise,All Ages,All,Strength,Upper,Resistance Band,Intermediate,"Acute Shoulder Impingement, Acute Rotator Cuff Tear",2,10–15,6–8,60–90 sec,Strengthens shoulder abductors for improved arm elevation control,"1. Stand on the center of the resistance band holding handles at your sides.
2. Raise arms out to shoulder height with a slight elbow bend.
3. Lower slowly back to start while maintaining band tension.",Keep shoulders down and avoid shrugging or swinging,3.8,Severe Shoulder Arthritis (flare-up),Main workout
Banded Pull-Aparts,10009,6ac9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Pull-Aparts/Banded_Pull-Aparts.mp4?se=2036-01-25T12%3A23%3A50Z&sp=r&sv=2026-02-06&sr=b&sig=VUbXiq/qRBLAit4PwQ2mIJioFWjzpCBsi1kfNQXo/CY%3D,Banded Pull-Apart: Strengthen your upper back and improve shoulder alignment—tap to start.,Banded Pull-Aparts,All Ages,All,Strength,Upper,Resistance Band,All,"Acute Shoulder Impingement, Acute Rotator Cuff Tear",2,10-15,6–8,45–60 sec,Strengthens upper back and improves scapular control,"1. Stand tall holding a resistance band at shoulder height with arms straight.
2. Pull the band outward by squeezing shoulder blades while keeping arms level.
3. Return slowly to the starting position with control.",Keep shoulders down and avoid shrugging during pull,3.5,None,Main workout
BS External Rotation,10010,6bc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/BS_External_Rotation/BS_External_Rotation.mp4?se=2036-01-25T12%3A23%3A51Z&sp=r&sv=2026-02-06&sr=b&sig=2AawmCEOk026DV0k0WjUB4k%2BTUVGSsJUXywGqjMbj5k%3D,Banded Shoulder External Rotation: Strengthen your rotator cuff and enhance shoulder stability—tap to begin.,Banded Shoulder External Rotation,All Ages,All,Strength,Upper,Resistance Band,All,"Acute Shoulder Impingement, Acute Rotator Cuff Tear",2,12–15 each side,3–5,30–60 sec,Builds rotator cuff strength and supports shoulder stability during arm movements,"1. Attach the resistance band at elbow height and hold it with elbow bent 90° tucked at your side.
2. Rotate the forearm outward away from your body while keeping the elbow fixed.
3. Slowly return to the starting position with control.",Keep elbow pinned to side at 90 degrees and rotate from shoulder,3,"Recent Shoulder Surgery, Severe Shoulder Arthritis (flare-up)","Warm up, Main workout"
