ID,folder_name,video_name,thumbnailname,video_path,text_file_path,image_path,duration,practiceType,createdDate,createdBy,modifiedDate,modifiedBy,isNew,sas_video_path,sas_image_path,sas_text_path,GuidId,notification_msg,health_benefit,safety_cue,IsDeleted
1,Banded Face Pulls,Banded_Face_Pulls.mp4,Banded_Face_Pulls_Thumbnail.png,exercise-videos/Banded_Face_Pulls/Banded_Face_Pulls.mp4,exercise-videos/Banded_Face_Pulls/Banded_Face_Pulls.txt,exercise-videos/Banded_Face_Pulls/Banded_Face_Pulls_Thumbnail.png,00:00:21,Beginner,2026-01-27 17:53:07,Admin,2026-02-25 15:51:16,Admin,1,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Face_Pulls/Banded_Face_Pulls.mp4?se=2036-01-25T12%3A23%3A07Z&sp=r&sv=2026-02-06&sr=b&sig=1IjU6hTbUM2p2KLCYvWKxceKZL/%2B7eOeHsc5TR%2BiUUM%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Face_Pulls/Banded_Face_Pulls_Thumbnail.png?se=2036-01-25T12%3A23%3A07Z&sp=r&sv=2026-02-06&sr=b&sig=zsUa%2BfkNdmQtwt2xDsw3Im9LL2eCcHm9WSW3seP9dh4%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Face_Pulls/Banded_Face_Pulls.txt?se=2036-01-25T12%3A35%3A59Z&sp=r&sv=2026-02-06&sr=b&sig=9xq1TJ%2BlhZ%2BN%2B1nQiwU/hWO1IFkGH0nTUdVDypKME9k%3D,62c9eb09-090c-f111-90e2-0ee5bce07997,Banded Face Pulls: Improves posture and strengthen your upper back—tap to watch now.,Improves rear shoulder and upper back strength for better posture,Pull shoulder blades together keeping chest tall and elbows level,FALSE
2,Arm Scissors,Arm_Scissors.mp4,Arm_Scissors_Thumbnail.png,exercise-videos/Arm_Scissors/Arm_Scissors.mp4,exercise-videos/Arm_Scissors/Arm_Scissors.txt,exercise-videos/Arm_Scissors/Arm_Scissors_Thumbnail.png,00:00:16,Beginner,2026-01-27 17:53:11,Admin,2026-02-25 15:55:34,Admin,1,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Arm_Scissors/Arm_Scissors.mp4?se=2036-01-25T12%3A23%3A11Z&sp=r&sv=2026-02-06&sr=b&sig=GPDRSfHP/qtD/371JrD%2B638mPG/AnizMvtpkJmBQgFM%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Arm_Scissors/Arm_Scissors_Thumbnail.png?se=2036-01-25T12%3A23%3A11Z&sp=r&sv=2026-02-06&sr=b&sig=L5harg/P8DSEwZUhvT%2BRaOhvHLCb9Oyu2sEM8irlYD4%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Arm_Scissors/Arm_Scissors.txt?se=2036-01-25T12%3A35%3A59Z&sp=r&sv=2026-02-06&sr=b&sig=nlgbkIf714v24SO1iflT7//c5z1jxtWfG32QhyFQFwM%3D,63c9eb09-090c-f111-90e2-0ee5bce07997,Arm Scissors: Activate your shoulders and improve shoulder mobility—tap to start.,Enhances shoulder mobility and coordination through repetitive horizontal adduction and abduction,Keep shoulders relaxed and avoid excessive trunk rotation,FALSE
3,Banded Hammer Curls,Banded_Hammer_Curls.mp4,Banded_Hammer_Curls_Thumbnail.png,exercise-videos/Banded_Hammer_Curls/Banded_Hammer_Curls.mp4,exercise-videos/Banded_Hammer_Curls/Banded_Hammer_Curls.txt,exercise-videos/Banded_Hammer_Curls/Banded_Hammer_Curls_Thumbnail.png,00:00:19,Beginner,2026-01-27 17:53:16,Admin,2026-02-25 15:55:45,Admin,1,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Hammer_Curls/Banded_Hammer_Curls.mp4?se=2036-01-25T12%3A23%3A15Z&sp=r&sv=2026-02-06&sr=b&sig=275wqODzbuCC3TM7e4N/EwwI944qYOzMfqLtLXfVtfM%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Hammer_Curls/Banded_Hammer_Curls_Thumbnail.png?se=2036-01-25T12%3A23%3A15Z&sp=r&sv=2026-02-06&sr=b&sig=CYyCjU/xKBQjhp2ZnYNq0k3gb/35kk9H/M%2BjCoP2/8s%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Hammer_Curls/Banded_Hammer_Curls.txt?se=2036-01-25T12%3A35%3A48Z&sp=r&sv=2026-02-06&sr=b&sig=jE6lZpBRCV0ZwsLeMMT63z0ODEZgf3i4W0l6ZyyQWjs%3D,64c9eb09-090c-f111-90e2-0ee5bce07997,Banded Hammer Curls: Build forearm and biceps strength—tap to start. 💪,Strengthens biceps and forearm muscles,Keep elbows tucked and avoid swinging the torso,FALSE
4,Banded Biceps Curl,Banded_Biceps_Curl.mp4,Banded_Biceps_Curl_Thumbnail.png,exercise-videos/Banded_Biceps_Curl/Banded_Biceps_Curl.mp4,exercise-videos/Banded_Biceps_Curl/Banded_Biceps_Curl.txt,exercise-videos/Banded_Biceps_Curl/Banded_Biceps_Curl_Thumbnail.png,00:00:19,Beginner,2026-01-27 17:53:18,Admin,2026-02-25 15:55:53,Admin,1,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Biceps_Curl/Banded_Biceps_Curl.mp4?se=2036-01-25T12%3A23%3A17Z&sp=r&sv=2026-02-06&sr=b&sig=tEamqpD8BQEcqxCbWMhT2kFInhmf112K1pXLcEai/0Y%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Biceps_Curl/Banded_Biceps_Curl_Thumbnail.png?se=2036-01-25T12%3A23%3A17Z&sp=r&sv=2026-02-06&sr=b&sig=UGhKlwEd7xn/pLCdKIv4AvCk3vsDowlKnsBiRYR0r0A%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Biceps_Curl/Banded_Biceps_Curl.txt?se=2036-01-25T12%3A35%3A47Z&sp=r&sv=2026-02-06&sr=b&sig=PHDpG8cD5O0BDL5zaesXCXeC4XHLdOuex7oYPwTUl1s%3D,65c9eb09-090c-f111-90e2-0ee5bce07997,Banded Biceps Curl: Strengthen and tone your biceps—tap to begin. 💪,Builds elbow flexor strength and contributes to functional pulling movements,Keep elbows tucked to sides and lower weight slowly with control,FALSE
5,Arm Raises,Arm_Raises.mp4,Arm_Raises_Thumbnail.png,exercise-videos/Arm_Raises/Arm_Raises.mp4,exercise-videos/Arm_Raises/Arm_Raises.txt,exercise-videos/Arm_Raises/Arm_Raises_Thumbnail.png,00:00:16,Beginner,2026-01-27 17:53:28,Admin,2026-02-25 15:56:02,Admin,1,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Arm_Raises/Arm_Raises.mp4?se=2036-01-25T12%3A23%3A28Z&sp=r&sv=2026-02-06&sr=b&sig=X8LLSFb%2BIDtpwHgYEg5LlmTUGAohdxDvNbmnxO8t0tU%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Arm_Raises/Arm_Raises_Thumbnail.png?se=2036-01-25T12%3A23%3A28Z&sp=r&sv=2026-02-06&sr=b&sig=FEBow1szj/61F/aeUPDs9e5uR6d4xQHc0QfZDSVnmec%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Arm_Raises/Arm_Raises.txt?se=2036-01-25T12%3A35%3A47Z&sp=r&sv=2026-02-06&sr=b&sig=1n/2Fjp1q0OEk5FfUYhwLdxjAXUpFLSZ1ee0x%2BBgWHE%3D,66c9eb09-090c-f111-90e2-0ee5bce07997,Arm Raises with Breathing: Strengthen your shoulders and improve arm control—tap to begin.,Enhances shoulder mobility and breathing coordination,Keep shoulders relaxed and avoid arching the lower back,FALSE
6,Banded Lateral Walking,Banded_Lateral_Walking.mp4,Banded_Lateral_Walking_Thumbnail.png,exercise-videos/Banded_Lateral_Walking/Banded_Lateral_Walking.mp4,exercise-videos/Banded_Lateral_Walking/Banded_Lateral_Walking.txt,exercise-videos/Banded_Lateral_Walking/Banded_Lateral_Walking_Thumbnail.png,00:00:17,Beginner,2026-01-27 17:53:33,Admin,2026-02-25 15:56:10,Admin,1,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Lateral_Walking/Banded_Lateral_Walking.mp4?se=2036-01-25T12%3A23%3A32Z&sp=r&sv=2026-02-06&sr=b&sig=2PRhSwk2WFkTfXcUj4OWjUC/cFpCsOZOGlG%2BtAh1Qx8%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Lateral_Walking/Banded_Lateral_Walking_Thumbnail.png?se=2036-01-25T12%3A23%3A32Z&sp=r&sv=2026-02-06&sr=b&sig=TK8Qc8rgXg3wrXuCiyKU36Xp/bbUguSg2juDF%2BLX8ew%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Lateral_Walking/Banded_Lateral_Walking.txt?se=2036-01-25T12%3A35%3A46Z&sp=r&sv=2026-02-06&sr=b&sig=bZVw4YMlSEDBPZquMiGVdkbpyTDptBR/WdVxbHne6ls%3D,67c9eb09-090c-f111-90e2-0ee5bce07997,Banded Lateral Walk: Strengthen your glutes and improve hip stability—tap to start.,Strengthens hip abductors and improves lateral stability,Maintain neutral spine and engaged core,FALSE
7,Banded Shoulder Internal Rotation,Banded_Shoulder_Internal_Rotation.mp4,Banded_Shoulder_Internal_Rotation_Thumbnail.png,exercise-videos/Banded_Shoulder_Internal_Rotation/Banded_Shoulder_Internal_Rotation.mp4,exercise-videos/Banded_Shoulder_Internal_Rotation/Banded_Shoulder_Internal_Rotation.txt,exercise-videos/Banded_Shoulder_Internal_Rotation/Banded_Shoulder_Internal_Rotation_Thumbnail.png,00:00:19,Beginner,2026-01-27 17:53:38,Admin,2026-02-25 15:56:28,Admin,1,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Shoulder_Internal_Rotation/Banded_Shoulder_Internal_Rotation.mp4?se=2036-01-25T12%3A23%3A38Z&sp=r&sv=2026-02-06&sr=b&sig=KNyIaG%2BsMi3XHxgmaVHrPaFQ%2BaK/s3rwm/yh2Qm/n5w%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Shoulder_Internal_Rotation/Banded_Shoulder_Internal_Rotation_Thumbnail.png?se=2036-01-25T12%3A23%3A38Z&sp=r&sv=2026-02-06&sr=b&sig=WeAmzvc1ae0SGQfXLuHLlRUaTsk5U6OEUFLM0C%2BlW%2Bw%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Shoulder_Internal_Rotation/Banded_Shoulder_Internal_Rotation.txt?se=2036-01-25T12%3A35%3A46Z&sp=r&sv=2026-02-06&sr=b&sig=b17guuDYs8BC/FFlWdmXRz08YruzWOYW1StzE9Vq2qg%3D,68c9eb09-090c-f111-90e2-0ee5bce07997,Banded Shoulder Internal Rotation: Strengthen your rotator cuff and improve shoulder stability—tap to begin.,Strengthens internal rotator muscles of the shoulder,Keep elbow close to body and avoid trunk rotation,FALSE
8,Banded Lateral Raise,Banded_Lateral_Raise.mp4,Banded_Lateral_Raise_Thumbnail.png,exercise-videos/Banded_Lateral_Raise/Banded_Lateral_Raise.mp4,exercise-videos/Banded_Lateral_Raise/Banded_Lateral_Raise.txt,exercise-videos/Banded_Lateral_Raise/Banded_Lateral_Raise_Thumbnail.png,00:00:18,Beginner,2026-01-27 17:53:44,Admin,2026-02-25 15:56:37,Admin,1,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Lateral_Raise/Banded_Lateral_Raise.mp4?se=2036-01-25T12%3A23%3A44Z&sp=r&sv=2026-02-06&sr=b&sig=ZQSKo/d4sV93/7e0ShRlKydh7vcpKwkZEmPVKRxcS4w%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Lateral_Raise/Banded_Lateral_Raise_Thumbnail.png?se=2036-01-25T12%3A23%3A44Z&sp=r&sv=2026-02-06&sr=b&sig=Bp3c5kUOoT6lEPo5QKUxD9TId9YbD3IJLQuD8z4qYVI%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Lateral_Raise/Banded_Lateral_Raise.txt?se=2036-01-25T12%3A35%3A45Z&sp=r&sv=2026-02-06&sr=b&sig=MuaCD%2BONsK6x1zLP72w7wpseJNYVn/RvMmL%2BZTjuSj4%3D,69c9eb09-090c-f111-90e2-0ee5bce07997,Banded Lateral Raise: Build shoulder strength and improve arm lift control—tap to start. 💪,Strengthens shoulder abductors for improved arm elevation control,Keep shoulders down and avoid shrugging or swinging,FALSE
9,Banded Pull-Aparts,Banded_Pull-Aparts.mp4,Banded_Pull-Aparts_Thumbnail.png,exercise-videos/Banded_Pull-Aparts/Banded_Pull-Aparts.mp4,exercise-videos/Banded_Pull-Aparts/Banded_Pull-Aparts.txt,exercise-videos/Banded_Pull-Aparts/Banded_Pull-Aparts_Thumbnail.png,00:00:17,Beginner,2026-01-27 17:53:50,Admin,2026-02-25 15:56:53,Admin,1,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Pull-Aparts/Banded_Pull-Aparts.mp4?se=2036-01-25T12%3A23%3A50Z&sp=r&sv=2026-02-06&sr=b&sig=VUbXiq/qRBLAit4PwQ2mIJioFWjzpCBsi1kfNQXo/CY%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Pull-Aparts/Banded_Pull-Aparts_Thumbnail.png?se=2036-01-25T12%3A23%3A50Z&sp=r&sv=2026-02-06&sr=b&sig=2UHC3furbCcbd4gOMu9aNx/pIw/pxcVl5eMrnbFMq6w%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Banded_Pull-Aparts/Banded_Pull-Aparts.txt?se=2036-01-25T12%3A35%3A45Z&sp=r&sv=2026-02-06&sr=b&sig=EhVH4N/PL7Cxe%2BgRui7PvkdyB8pPeC3%2B0oqaXEq/X3s%3D,6ac9eb09-090c-f111-90e2-0ee5bce07997,Banded Pull-Apart: Strengthen your upper back and improve shoulder alignment—tap to start.,Strengthens upper back and improves scapular control,Keep shoulders down and avoid shrugging during pull,FALSE
10,BS External Rotation,BS_External_Rotation.mp4,BS_External_Rotation_Thumbnail.png,exercise-videos/BS_External_Rotation/BS_External_Rotation.mp4,exercise-videos/BS_External_Rotation/BS_External_Rotation.txt,exercise-videos/BS_External_Rotation/BS_External_Rotation_Thumbnail.png,00:00:19,Beginner,2026-01-27 17:53:51,Admin,2026-02-25 15:57:01,Admin,1,https://nouriqaicontent.blob.core.windows.net/exercise-videos/BS_External_Rotation/BS_External_Rotation.mp4?se=2036-01-25T12%3A23%3A51Z&sp=r&sv=2026-02-06&sr=b&sig=2AawmCEOk026DV0k0WjUB4k%2BTUVGSsJUXywGqjMbj5k%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/BS_External_Rotation/BS_External_Rotation_Thumbnail.png?se=2036-01-25T12%3A23%3A51Z&sp=r&sv=2026-02-06&sr=b&sig=2N37z1AptNPmWgimQM3bgZiJM4Hf%2BqMHJmiGc1XxpbY%3D,https://nouriqaicontent.blob.core.windows.net/exercise-videos/BS_External_Rotation/BS_External_Rotation.txt?se=2036-01-25T12%3A35%3A44Z&sp=r&sv=2026-02-06&sr=b&sig=T2CCfenT4MU3Q6UZ1VyGEpXuUEPhRT3TXO57vmQNnvo%3D,6bc9eb09-090c-f111-90e2-0ee5bce07997,Banded Shoulder External Rotation: Strengthen your rotator cuff and enhance shoulder stability—tap to begin.,Builds rotator cuff strength and supports shoulder stability during arm movements,Keep elbow pinned to side at 90 degrees and rotate from shoulder,FALSE
